,Name,Price,Discount,Amount,Category ID,Item ID,Shop ID
0,SAIJIALUO  Quả Cầu Lông Tập Luyện Trong Nhà Và Ngoài Trời Bền Và Ổn Định SYP23C03T0 49Z231205,9.000,-57%,"23,1k",100637,22362184435,1032564320
1,Deukio Set 3 / 6 / 12 Quả Cầu Lông Luyện Tập Trong Nhà Và Ngoài Trời Bền Bỉ,59.000,-51%,"5,3k",100637,20980691758,984694229
2,SAIJIALUO Băng Quấn Cán Vợt Cầu Lông Thấm Hút Mồ Hôi Thân Thiện Với Môi Trường SYP23C03K5 49Z231205,5.900,-46%,"1,1k",100637,24552662269,1032564320
3,Set quả cầu lông LOCO FISH chuyên nghiệp chất lượng cao tiện lợi,39.000,-57%,"8,1k",100637,23028666286,619026296
4,Bộ 2 vợt cầu lông NURGAZ bằng hợp kim chất lượng cao cho người lớn hoạt động ngoài trời,73.000,-58%,"21,1k",100637,22825500920,881311390
5,"[Hộp 6 quả] Cầu nhựa cao cấp AGNITE chính hãng, đường bay ổn định, nhẹ, bền, 2 màu tùy chọn - F2212",14.400,-40%,"2,5k",100637,22273683804,1023360720
6,Quả bóng chuyền LOCO FISH số 5 chống thấm nước dành cho luyện tập trong nhà và ngoài trời,65.000,-62%,"8,7k",100637,18719573758,619026296
7,Băng keo thể thao Welike - Băng quấn bảo vệ cổ chân đá bóng tự dính cuốn bó gối dán cổ tay ngón tay chống chấn thương,3.000,-50%,"9,7k",100637,23814531213,869729579
8,Vợt cầu lông giá rẻ (Túi 2 cái vợt tặng 3 quả cầu) Welike Vợt cầu lông căng 7-10kg siêu nhẹ cho trẻ em và người mới chơi,45.000,-41%,"1,7k",100637,18396230258,869729579
9,Vợt cầu lông chính hãng FITEZY - Bộ vợt cầu lông hợp kim siêu nhẹ dành cho mọi lứa tuổi,85.000,-32%,11k,100637,21995541204,53594221
10,"Vợt Kumpoo k520 pro đen chính hãng căng 10kg 11kg 11,5kg bảo hành 1 năm khung carbon siêu bền đẹp - LIDAK SPORT",380.000,-44%,451,100637,22985952371,912244868
11,Bóng đá NURGAZ bằng PVC thể thao ngoài trời dành cho người lớn,8.000,-94%,"1,9k",100637,22425440793,881311390
12,Enlee Bộ 6 / 12 Quả Cầu Lông Tập Luyện Trong Nhà Và Ngoài Trời,59.000,-42%,"1,3k",100637,23650080922,984694336
13,LOCO FISH Bộ 2 cây vợt cầu lông kèm túi cho người mới bắt đầu,75.000,-71%,"47,9k",100637,14284625759,619026296
14,Bộ cầu lông NURGAZ 6/12 luyện tập trong nhà và ngoài trời dành cho người lớn,59.000,-42%,"1,2k",100637,22550079898,881311390
15,"Kìm Bóp Tay, Kìm Tập Cơ Tay, Dụng Cụ Tập Gym Tại Nhà Điều Chỉnh Lực Có Đếm 5-60kg KICO",15.000,-27%,"7,9k",100637,14497890160,949019423
16,Gậy lò xo tập cơ tay Welike Dụng cụ bẻ tăng lực tay vai xô cơ ngực 20kg 30kg 40kg 50kg 60kg 100kg gym thể thao hiệu quả,29.000,-68%,"59,2k",100637,23408288527,869729579
17,Mmluck Quả Cầu Lông Có Đèn led Phát Sáng Nhiều Màu Siêu Bền,15.000,-49%,"2,9k",100637,22660333350,690740265
18,"[Màu ngẫu nhiên] Quấn vợt cầu lông, tennis chính hãng Agnite, chống trơn trượt, thoáng khí, ma sát tốt",10.000,-17%,"1,7k",100637,22858406205,1023360720
19,"[GIÁ RẺ] Quả cầu lông Agnite chính hãng, ống cầu 6 và 12 quả, cầu nhựa và cầu lông vũ, Chịu va đập tốt - F2202S",69.000,-53%,"7,7k",100637,9954509890,418685320
20,Bộ vợt cầu lông ENLEE có tay cầm xốp độ đàn hồi cao cho người lớn hoạt động thể thao ngoài trời,73.000,-45%,6k,100637,22352251792,984694336
21,Nurgaz Quả Bóng Đá Bằng Nhựa pvc Chống Mài Mòn Cao Cấp Cho Người Lớn,65.000,-54%,205,100637,22254815114,881311390
22,Bộ 12 Quả Cầu Lông ALPSPORT 808 76~77 Chuyên Dụng Chất Lượng,159.000,-32%,2k,100637,20973520346,727709621
23,Vợt cầu lông DEUKIO bằng hợp kim chất lượng,63.000,-59%,"6,8k",100637,22545035594,984694229
24,"Bóng đá Động Lực size 5 UCV 3.05, bóng đá size 4 Động Lực",60.000,-34%,"7,2k",100637,2856455592,92577869
25,Vợt cầu lông NURGAZ bằng sợi carbon siêu nhẹ dính liền mềm mại thể thao ngoài trời,1.000,-99%,"1,7k",100637,18282716161,881311390
26,Vợt cầu lông NURGAZ chuyên nghiệp chất lượng cao cho nam nữ cặp đôi tập luyện ngoài trời,73.000,-45%,"1,5k",100637,23652248973,881311390
27,Quả cầu lông vịt NURGAZ luyện tập chơi cầu lông thể thao ngoài trời đa năng chuyên nghiệp,39.000,-57%,"2,6k",100637,19376824309,881311390
28,"Quả Bóng Đá Wika F223 Tiêu Chuẩn Size 5 Cấu Tạo Nhiều Lớp , Hàng Chính Hãng",159.000,-36%,"6,6k",100637,19291474481,1044997296
29,Dụng cụ luyện tập cầu lông NURGAZ nhỏ gọn trong nhà và ngoài trời,145.000,-58%,"2,8k",100637,11998949370,881311390
30,Túi Rút Thể Thao Hier Drawstring Bag Túi Đựng Giày Chống Nước,39.000,-44%,"12,6k",100015,14811669236,393061257
31,ALPSPORT PKT Miếng Dán Bảo Vệ Đầu Vợt Cầu Lông Raket Chống Mài Mòn Miếng Dán Đầu Vợt Cho Raket Lưới Cầu Lông Khung Lông Vũ Đường Viền Màng Bảo Vệ Chống Mài Mòn Vợt Đối Tác Racket Head Sticker,14.000,-30%,"5,1k",100637,20973520342,727709621
32,Enlee Số 5 Quả Bóng Đá pvc Chống Mài Mòn Luyện Tập Cho Người Lớn Và Trẻ Em,64.000,-50%,358,100637,18694423596,984694336
33,Dây cao su kháng lực AOLIKES co giãn dùng tập yoga/ thể hình cho nữ,2.990,-83%,"5,4k",100637,16935277191,596608695
34,SAIJIALUO Vợt Cầu Lông Chính Hãng 2023 Mới Vợt Đôi Ferroalloy Bộ Vợt Tấn Công Chống Người Mới Bắt Đầu SYP23C0BIX,99.000,-19%,137,100637,22088326937,1032564320
35,Ống Cầu Lông 12 Quả Chuẩn Thi Đấu Và Luyện Tập Agnite - Trái Vũ Cầu Thể Dục Thể Thao - Hàng chính hãng - F2202S,144.000,-33%,"2,4k",100637,21539272392,348955539
36,Vợt cầu lông VS Youlong rồng xanh chính hãng carbon bền nhẹ 4U căng sẵn công thủ toàn diện dành cho mọi người chơi,750.000,-40%,204,100637,25756862699,1157564107
37,"Quấn cán, cuốn cán vợt cầu lông Kumpoo chính hãng KG-30 PU mềm mại bám dính tốt, chống trơn trượt, thấm hút mồ hôi tốt",17.500,-30%,868,100637,23088968935,1052500269
38,Enlee Bộ 2 Vợt Cầu Lông Bằng Hợp Kim Sắt Siêu Nhẹ Chuyên Nghiệp,129.000,-44%,223,100637,19095700539,984694336
39,"Vợt cầu lông TIDATA chất liệu hợp kim nhẹ bền bỉ, mua kèm 3 quả cầu, tặng túi đựng 2 vợt",30.000,-25%,402,100637,24056429611,738504103
40,Bơm bóng đá banh bóng rổ cầm tay mini (tặng 2 kim bơm+túi lưới) Goden House nhỏ gọn dễ sử dụng phù hợp đa năng tiện dụng,16.000,-84%,514,100637,23982678799,1040440206
41,Enlee Vợt Cầu Lông Bằng Hợp Kim Nhôm Nhiều Màu / Tay Cầm Xốp Cho Người Lớn / Học Sinh,85.000,-60%,"14,3k",100637,22546916461,984694336
42,Kìm bóp tập cơ tay 100kg Welike - Kìm bóp tay có đếm số tự động điều chỉnh lực 60 100kg tập cơ ngón tay tập gym hiệu quả,9.900,-72%,"21,3k",100637,20550226195,869729579
43,"Quả Bóng Đá Wika F123 Tiêu Chuẩn Size 5 Cấu Tạo Nhiều Lớp , Phù Hợp Sân Cỏ Nhân Tajop Và Tự Nhiên",159.000,-21%,"6,1k",100637,22350157461,1044997296
44,"Hộp 3 quả cầu nhựa, lông ngỗng tự nhiên chính hãng Agnite - nhẹ, bền, chắc chắn - quả lẻ/ hộp 3 quả",9.000,-55%,"9,9k",100637,2956080430,418685320
45,"Quả bóng đá Động Lực size 5 , 4 UCV 3.05, Chất Liệu Da PU Cao Cấp, Màu Trắng Xanh",259.000,-8%,"8,4k",100637,22450186661,1044997296
46,Deukio Vợt Cầu Lông Đơn / Đôi Bằng Sợi Carbon Siêu Nhẹ Cho Nam Nữ,199.000,-59%,"1,1k",100637,23244985596,984694229
47,Băng Quấn Bảo Vệ Đầu Gối Thoáng Khí Chuyên Nghiệp Dành Cho Người Lớn,28.700,-46%,"3,7k",100637,22932299107,690740265
48,[Fulfilled by Shopee]Ống tay áo X-Tiger bảo vệ tay khi hoạt động ngoài trời,28.900,-50%,"32,1k",100637,3013052255,226509907
49,Dây Nhảy Tập Thể Dục Thể Thao Giảm Cân Lõi Thép GEPO GP01,35.000,-38%,"38,3k",100637,8172833953,215110322
50,"Dây Kháng Lực Đàn Hồi Tập Bóng Đá Sút Mạnh, Dây Kháng Lực Tập Chân Mông Đùi Aolikes 3601 AL3601 - Chính Hãng",7.980,-34%,"6,4k",100637,22242929572,382830193
51,Túi đựng giày đá bóng Welike Túi vải dây rút đựng giày thể thao giầy đá banh tiện lợi chống bụi bẩn size lớn,1.000,-50%,"4,7k",100637,17498507507,869729579
52,"Băng Keo Thể Thao Quấn  Cổ Chân Giày Đá Bóng Tự Dính, Bó Gối Dán Cơ Thể Thao Cổ Tay Ngón Tay Topbody",3.790,-46%,"32,7k",100637,20642394598,360979576
53,"Quấn vợt cầu lông, cuốn cán vợt Kumpoo KG-30 chính hãng PU mềm mại, thấm mồ hôi tốt, cầm chắc chắn, chống trơn trượt",34.900,-1%,"1,3k",100637,23959211578,1052500269
54,Vợt cầu lông VS titan 1000 chính hãng sợi carbon 4U bền nhẹ căng sẵn tấn công thi đấu chuyên nghiệp tập luyện nam nữ,860.000,-25%,99,100637,24308668415,1157564107
55,"Vợt cầu lông FITEZY, bộ vợt cầu lông giá rẻ hợp kim nhôm tay cầm xốp siêu nhẹ cho người mới, học sinh",85.000,-37%,"1,1k",100637,24405976092,53594221
56,"Giày Bóng Chuyền, Giày Cầu Lông Wika Maru Chính Hãng, Giày Thể Thao Chuyên Dụng Chất Liệu Cao Cấp Mềm Ôm Chân",80.000,-25%,467,100637,24103034779,987734877
57,【Giá thấp nhất】Muvako Miếng Dán Bảo Vệ Đầu Vợt Cầu Lông Chống Mòn Tiện Dụng,14.000,-36%,774,100637,21094889807,85326458
58,Enlee Quả Bóng Chuyền; PVC Khâu Số 5 Cạnh tranh Đặc Biệt Mềm Mại Luyện Tập Trong Nhà Và Ngoài Trời,65.000,-53%,"2,2k",100637,23370031600,984694336
59,"Bộ 2 vợt cầu lông khung carbon cao cấp siêu nhẹ, chính hãng AGNITE, chuyên nghiệp - giá rẻ, bền đẹp. Vợt cầu lông giá rẻ",99.000,-49%,"7,4k",100637,16983408329,348955539
60,Dây Nhảy Thể Lực Đếm Số Tập Thể Dục Thể Thao Giảm Cân Cao Cấp Nhiều Màu KICO,12.000,-50%,"7,2k",100637,21572549337,949019423
61,"[Ống 12 trái] Cầu lông chính hãng AGNITE, lông vịt/lông ngỗng cao cấp, phù hợp chơi thể thao và thi đấu chuyên nghiệp",144.000,-44%,826,100637,20390588231,1023360720
62,Quả bóng luyện tập phản xạ boxing muay thái MMULCK có dây đeo đầu điều chỉnh được chuyên dụng,25.200,-43%,823,100637,23033165616,690740265
63,"[TẶNG QUÀ] Bộ 2 vợt cầu lông chính hãng AGNITE giá rẻ, khung carbon composite, vợt bền, nhẹ tặng kèm túi vợt",79.000,-57%,441,100637,23346545256,1023360720
64,"[Tặng hộp cầu] Bộ 2 vợt cầu lông chính hãng AGNITE - hợp kim carbon bền, nhẹ - sức căng 9-11kg - tặng kèm túi và hộp cầu",159.000,-56%,2k,100637,23072047949,1023360720
65,Chai chiết nước hoa tự động Welike - Lọ chiết nước hoa mini du lịch dạng xịt ống 5ml 8ml không rò rỉ nhỏ gọn dễ sử dụng,11.900,-39%,474,100637,22586958686,869729579
66,Dù gấp BEIDUOYANG 24 xương cán dài oversize chống gió chống mưa tiện dụng,19.800,-45%,"3,3k",100637,22728643702,946074349
67,Enlee Vợt Cầu Lông Siêu Nhẹ Chất Lượng Cao Cho Người Lớn,149.000,-57%,"1,2k",100637,22086916099,984694336
68,Bộ 2 Vợt cầu lông Kiotool hợp kim chắc chắn dành cho người mới bắt đầu + Kèm túi vợt,115.000,-38%,117,100637,19287323191,371748885
69,Bóng đá tiêu chuẩn thi đấu full 50 mẫu (tặng bơm và kim) GodenHouse banh đá bóng cao cấp loại 1 bảo hành 12 tháng,84.000,-50%,548,100637,22156065990,1040440206
70,Combo 2 Món: Kìm Bóp Tay Có Máy Đếm Tập Cơ Tay Và Dây Nhảy Thể Lực Tập Gym Hiệu Quả - combo dây nhảy và kìm bóp tay,49.000,-39%,"1,2k",100637,23678173801,627983507
71,1/2 Vợt cầu lông ALPSPORT Yonex ALP RR 100% sợi carbon 22 ~ 28LBS T800 có túi và băng quấn tay cầm cho người mới bắt đầu,239.000,-48%,"1,6k",100637,23424857770,727709621
72,"Dây nhảy thể dục Welike - Dây nhảy dây tăng thể lực giảm cân lõi thép tốc độ có tạ dài 2,9m pvc đàn hồi",13.900,-50%,"3,2k",100637,23948457071,869729579
73,Gậy lò xo 5kg và 10kg dododios cho trẻ em tập cơ tay - Hàng chính hãng,22.000,-56%,"10,5k",100637,18185804239,627983507
74,Dây Mini Band Cao Su Kháng Lực Tập Chân Mông KICO,12.000,-50%,"8,7k",100637,23222167492,949019423
75,TOKUSHIMA 1 Mồi Câu Cá 3D Bằng Kim Loại Cứng 5g 7g 10g 15g 20g,9.000,-50%,"2,9k",100637,22338345568,176744484
76,Bộ 2 Vợt Cầu Lông Khung Carbon 710 Căng 11kg (24LBS) Đại Nam Sport + Tặng Túi Đựng Và 2 Quấn Cán,389.000,-29%,479,100637,20083566483,160366126
77,"Khung nắn chỉnh cột sống Welike - Dụng cụ massage lưng định hình cột sống toàn thân điều trị thoát vị đĩa đệm, đau lưng",48.500,-39%,772,100637,23780138917,869729579
78,Gậy Bẻ Tập Cơ Tay Gậy Lò Xo Tập Cơ Vai Gym Lực 20kg-60kg đàn hồi tốt phù hợp luyện tập thể thao tại nhà KICO,33.000,-43%,"4,8k",100637,17596140801,949019423
79,"[MUA 2 GIẢM 15%] Cầu nhựa, ống cầu lông nhựa chính hãng Agnite - siêu bền - phù hợp tập luyện trong nhà tập - 6 quả",72.000,-44%,"4,3k",100637,11803753813,418685320
80,Dù che mưa Welike - Ô gấp gọn che nắng mưa cỡ lớn tự động cầm tay 12 10 8 nan chống tia UV hiệu quả 2 lớp chống thấm,47.999,-50%,"2,9k",100637,22279294162,869729579
81,ALPSPORT RR 【2 Cái + 1 Túi】đen Vợt Cầu Lông 4U G5 Nguyên Bản 100% Hoàn Toàn,195.000,-31%,"13,9k",100637,19073499905,727709621
